timeStamp,elapsed,label,responseCode,responseMessage,success,bytes,sentBytes,URL,Latency,Connect
1749398922842,76,Get customer by id,200,OK,true,2347,197,http://localhost:3001/api/purchase/08285d13-106e-4d09-80f0-0f8502b8a066,76,1
1749398922942,6,Get customer by id,200,OK,true,727,197,http://localhost:3001/api/purchase/11ecd49b-2120-47f9-9abc-846a732b1156,5,1
1749398922896,67,Get customer by id,200,OK,true,1882,197,http://localhost:3001/api/purchase/0da5a864-d1a9-4f24-b19c-8e01e1e3efb3,66,1
1749398923006,5,Get customer by id,200,OK,true,1196,197,http://localhost:3001/api/purchase/11ecd49b-2120-47f9-9abc-846a732b1166,5,1
1749398923041,6,Get customer by id,200,OK,true,1894,197,http://localhost:3001/api/purchase/1604e756-9b26-411c-8eb1-9891100af8af,6,1
1749398923091,5,Get customer by id,200,OK,true,2358,197,http://localhost:3001/api/purchase/1e683c71-58ce-4c02-9fa9-510a6d255c80,5,1
1749398923142,6,Get customer by id,200,OK,true,2231,197,http://localhost:3001/api/purchase/200c0a8d-2f1c-41e4-9685-8a2feff681f1,6,1
1749398923192,5,Get customer by id,200,OK,true,2231,197,http://localhost:3001/api/purchase/272441f9-ad8f-4ba3-90b4-9de97215ea14,5,1
1749398923242,5,Get customer by id,200,OK,true,2360,197,http://localhost:3001/api/purchase/27e0c0a0-0aa3-4bc9-971b-5733a1249d50,5,0
1749398923292,8,Get customer by id,200,OK,true,1876,197,http://localhost:3001/api/purchase/291d230a-d6a0-45b5-8dd7-6414415ad668,8,1
1749398923343,7,Get customer by id,200,OK,true,2350,197,http://localhost:3001/api/purchase/2af2e743-b912-4e8c-b426-2e09165e801c,7,3
1749398923391,8,Get customer by id,200,OK,true,2231,197,http://localhost:3001/api/purchase/33eb628b-ff45-4242-bc03-80adda7e3c15,8,1
1749398923442,5,Get customer by id,200,OK,true,1997,197,http://localhost:3001/api/purchase/33ee51d4-0581-4299-870a-6cf46f1936ca,5,0
1749398923492,5,Get customer by id,200,OK,true,1876,197,http://localhost:3001/api/purchase/3ddaf988-a586-4d98-8038-a9cb22d517ba,5,1
1749398923543,6,Get customer by id,200,OK,true,1890,197,http://localhost:3001/api/purchase/42f66653-e4e5-426a-8d66-acac22163cb1,6,1
1749398923591,10,Get customer by id,200,OK,true,1887,197,http://localhost:3001/api/purchase/59a54382-f54b-43c7-b06d-e2c37d249a71,10,1
1749398923643,13,Get customer by id,200,OK,true,2358,197,http://localhost:3001/api/purchase/65afb206-db6b-483e-836a-b352f1b4bcb8,13,2
1749398923692,6,Get customer by id,200,OK,true,1879,197,http://localhost:3001/api/purchase/667be0d6-9758-43a1-a3c6-e334fb106269,6,1
1749398923741,5,Get customer by id,200,OK,true,1881,197,http://localhost:3001/api/purchase/6f000754-46c2-46ee-a5f8-0c45bbc0d657,5,1
1749398923791,5,Get customer by id,200,OK,true,1997,197,http://localhost:3001/api/purchase/7388cde1-369a-4fd9-a235-5aaf6cc90141,4,1
